endpoint,error,height,operand1,operand2,operation,problemType,result,rt,subject_nr,width
6.1681547619,0.168154761905,1050,5,1,+,target,6,1349,121,1680
3.39285714286,-0.607142857143,1050,2,2,+,target,4,2509,121,1680
3.24404761905,-0.755952380952,1050,7,3,-,filler,4,2157,121,1680
6.51785714286,0.517857142857,1050,3,3,+,filler,6,1333,121,1680
3.3556547619,-0.644345238095,1050,8,4,-,filler,4,1821,121,1680
1.68154761905,-0.318452380952,1050,2,0,-,target,2,1461,121,1680
7.02380952381,0.0238095238095,1050,7,0,+,target,7,1397,121,1680
2.23214285714,-0.767857142857,1050,7,4,-,filler,3,1989,121,1680
7.44047619048,0.440476190476,1050,7,0,-,target,7,3949,121,1680
7.1130952381,0.113095238095,1050,7,0,+,target,7,941,121,1680
0.528273809524,-0.471726190476,1050,6,5,-,filler,1,1709,121,1680
3.5119047619,-0.488095238095,1050,3,1,+,target,4,1308,121,1680
2.64880952381,-0.35119047619,1050,3,0,-,target,3,1349,121,1680
1.6369047619,-0.363095238095,1050,2,0,+,target,2,1188,121,1680
6.69642857143,0.696428571429,1050,6,0,+,target,6,1477,121,1680
7.46279761905,0.462797619048,1050,7,0,-,target,7,1341,121,1680
8.38541666667,0.385416666667,1050,3,5,+,filler,8,1318,121,1680
8.58630952381,0.58630952381,1050,3,5,+,filler,8,1461,121,1680
1.1755952381,-0.824404761905,1050,7,5,-,filler,2,3541,121,1680
6.27976190476,0.279761904762,1050,6,0,+,target,6,1245,121,1680
6.39880952381,0.39880952381,1050,4,2,+,target,6,1573,121,1680
0.47619047619,-0.52380952381,1050,6,5,-,filler,1,1789,121,1680
6.97916666667,-0.0208333333333,1050,2,5,+,filler,7,1445,121,1680
2.67857142857,-0.321428571429,1050,3,0,-,target,3,1965,121,1680
6.14583333333,0.145833333333,1050,7,1,-,target,6,1389,121,1680
1.35416666667,-0.645833333333,1050,2,0,-,target,2,1333,121,1680
6.23511904762,0.235119047619,1050,6,0,-,target,6,2237,121,1680
3.18452380952,-0.815476190476,1050,4,0,-,target,4,1181,121,1680
0.558035714286,-0.441964285714,1050,5,4,-,filler,1,1620,121,1680
8.27380952381,0.27380952381,1050,4,4,+,filler,8,2301,121,1680
3.07291666667,-0.927083333333,1050,3,1,+,target,4,1629,121,1680
3.63095238095,-0.369047619048,1050,7,3,-,filler,4,2197,121,1680
6.39880952381,0.39880952381,1050,2,4,+,filler,6,1221,121,1680
3.63095238095,-0.369047619048,1050,5,1,-,target,4,1452,121,1680
8.18452380952,0.184523809524,1050,8,0,-,target,8,1709,121,1680
8.25892857143,0.258928571429,1050,8,0,+,target,8,1229,121,1680
7.29166666667,0.291666666667,1050,3,4,+,filler,7,1517,121,1680
6.39880952381,0.39880952381,1050,8,2,-,target,6,1836,121,1680
9.40476190476,0.404761904762,1050,4,5,+,filler,9,2108,121,1680
5.9375,-0.0625,1050,8,2,-,target,6,1493,121,1680
3.85416666667,-0.145833333333,1050,5,1,-,target,4,1220,121,1680
1.62202380952,-0.377976190476,1050,6,4,-,filler,2,1717,121,1680
1.35416666667,-2.64583333333,1050,6,2,-,target,4,1789,121,1680
6.51785714286,0.517857142857,1050,5,1,+,target,6,1629,121,1680
